current_year,case_count,complete_cases,missing_desc,missing_sums,short_summary
1911.0,1.0,1.0,0.0,0.0,1.0
1913.0,787.0,0.0,787.0,787.0,0.0
1914.0,716.0,1.0,715.0,715.0,1.0
1915.0,685.0,2.0,683.0,683.0,1.0
1916.0,748.0,1.0,747.0,747.0,1.0
1917.0,729.0,1.0,728.0,728.0,0.0
1918.0,815.0,0.0,815.0,815.0,0.0
1919.0,863.0,2.0,861.0,862.0,0.0
1920.0,1073.0,0.0,1073.0,1073.0,0.0
1921.0,1008.0,1.0,1007.0,1007.0,1.0
1922.0,927.0,1.0,926.0,926.0,0.0
1923.0,980.0,1.0,979.0,979.0,1.0
1924.0,1016.0,0.0,1016.0,1016.0,0.0
1925.0,1066.0,0.0,1066.0,1066.0,0.0
1926.0,1050.0,1.0,1049.0,1049.0,1.0
1927.0,1154.0,0.0,1154.0,1154.0,0.0
1928.0,1109.0,0.0,1109.0,1109.0,0.0
1929.0,1119.0,0.0,1119.0,1119.0,0.0
1930.0,1180.0,0.0,1180.0,1180.0,0.0
1931.0,1303.0,1.0,1302.0,1302.0,0.0
1932.0,1275.0,2.0,1273.0,1273.0,1.0
1933.0,1232.0,3.0,1229.0,1230.0,0.0
1934.0,1188.0,0.0,1188.0,1188.0,0.0
1935.0,1182.0,0.0,1182.0,1182.0,0.0
1936.0,1211.0,2.0,1209.0,1209.0,0.0
1937.0,1052.0,2.0,1050.0,1050.0,0.0
1938.0,1043.0,0.0,1043.0,1043.0,0.0
1939.0,973.0,0.0,973.0,973.0,0.0
1940.0,952.0,1.0,951.0,951.0,0.0
1941.0,902.0,1.0,901.0,901.0,1.0
1942.0,929.0,2.0,927.0,927.0,0.0
1943.0,916.0,0.0,916.0,916.0,0.0
1944.0,514.0,0.0,514.0,514.0,0.0
1945.0,261.0,0.0,261.0,261.0,0.0
1946.0,815.0,0.0,815.0,815.0,0.0
1947.0,780.0,0.0,780.0,780.0,0.0
1948.0,827.0,0.0,827.0,827.0,0.0
1949.0,957.0,3.0,954.0,954.0,2.0
1950.0,938.0,0.0,938.0,938.0,0.0
1951.0,989.0,1.0,988.0,988.0,0.0
1952.0,1024.0,0.0,1024.0,1024.0,0.0
1953.0,1095.0,0.0,1095.0,1095.0,0.0
1954.0,1102.0,2.0,1100.0,1100.0,0.0
1955.0,1157.0,1.0,1156.0,1156.0,0.0
1956.0,1038.0,0.0,1038.0,1038.0,0.0
1957.0,1097.0,2.0,1095.0,1097.0,0.0
1958.0,1169.0,7.0,1162.0,1163.0,0.0
1959.0,1081.0,1.0,1080.0,1080.0,1.0
1960.0,943.0,0.0,943.0,943.0,0.0
1961.0,943.0,1.0,942.0,943.0,0.0
1962.0,908.0,1.0,907.0,907.0,0.0
1963.0,970.0,1.0,969.0,969.0,0.0
1964.0,1044.0,0.0,1044.0,1044.0,0.0
1965.0,991.0,4.0,987.0,989.0,2.0
1966.0,971.0,2.0,969.0,969.0,0.0
