Wall time,Step,Value
1652133157.028824,1,26.625099182128906
1652137024.821305,8768,0.5564000010490417
1652141202.997282,17536,0.3646000027656555
1652145311.8781493,26304,0.3321000039577484
1652149400.6333241,35072,0.31040000915527344
1652153501.9799852,43840,0.29440000653266907
1652157605.8382292,52608,0.28200000524520874
1652161730.9509447,61376,0.2721000015735626
1652165827.6348317,70144,0.26440000534057617
1652169946.348038,78912,0.25839999318122864
1652174089.8069038,87680,0.25429999828338623
